section,metric,value
summary,total_items,50
top_words,dress,14
top_words,maxi,10
top_words,jacket,9
top_words,mini,6
top_words,cotton,6
top_words,wool,5
top_words,blend,5
top_words,skirt,5
top_words,exclusive,5
top_words,fringed,5
top_words,leather,5
top_words,pants,4
top_words,silk,4
top_words,gown,3
top_words,necklace,3
top_words,shearling,2
top_words,strapless,2
top_words,draped,2
top_words,embellished,2
top_words,modal,2
top_bigrams,maxi dress,6
top_bigrams,mini dress,5
top_bigrams,maxi skirt,3
top_bigrams,leather jacket,3
top_bigrams,modal blend,2
top_bigrams,silk gown,2
top_bigrams,ribbon fringed,2
top_bigrams,fringed wool,2
top_bigrams,wool jacket,2
top_bigrams,theo shearling,1
top_bigrams,shearling loafer,1
top_bigrams,loafer mules,1
top_bigrams,floret strapless,1
top_bigrams,strapless mini,1
top_bigrams,jaclyn draped,1
top_bigrams,draped gown,1
top_bigrams,patsy embellished,1
top_bigrams,embellished mini,1
top_bigrams,cosmos fleur,1
top_bigrams,fleur yellow,1
top_designers,Leo Lin,5
top_designers,Oscar de la Renta,4
top_designers,By Malene Birger,3
top_designers,Chloé,3
top_designers,KALLMEYER,3
top_designers,LoveShackFancy,3
top_designers,Isabel Marant,2
top_designers,St. Agni,2
top_designers,Lizzie Fortunato,2
top_designers,FFORME,2
items,Black Suede Studio | Theo Shearling Loafer Mules,https://www.modaoperandi.com/women/p/black-suede-studio/theo-loafer/713977
items,Leo Lin | Floret Strapless Mini Dress,https://www.modaoperandi.com/women/p/leo-lin/floret-strapless-mini-dress/713649
items,Leo Lin | Jaclyn Draped Gown,https://www.modaoperandi.com/women/p/leo-lin/jaclyn-draped-gown-2/713655
items,Leo Lin | Patsy Embellished Mini Dress,https://www.modaoperandi.com/women/p/leo-lin/patsy-embellished-mini-dress/713650
items,Sophie Bille Brahe | Cosmos Fleur 18K Yellow Gold Diamond Ring,https://www.modaoperandi.com/women/p/sophie-bille-brahe/cosmos-fleur/711171
items,Marlies Grace | Olivia Wool-Blend Maxi Column Skirt,https://www.modaoperandi.com/women/p/marlies-grace/olivia-skirt/690187
items,Isabel Marant | Inaya Pleated Modal-Blend Pants,https://www.modaoperandi.com/women/p/isabel-marant/inaya-gb/706680
