title,summary,link,matched_keywords,ingested_at,image_url,tags
"L’Oréal Names New Americas CEO, Appoints Chairman","Alexis Perakis-Valat, currently president of its consumer products division, will accede to the role, replacing David Greenberg who will become the company’s US chairman.",https://www.businessoffashion.com/news/beauty/loreal-new-ceo-america/,"new, consumer",2025-09-25T19:16:11.641503+00:00,https://img.businessoffashion.com/resizer/v2/OC6TH72QUBACPII6ZVCTW3EDIY.jpg?auth=8cd02ff91a26b296262d744be017ec11e6b7ef5c8cf1aa3feecd7e2789eb5dc4&smart=true&width=3500&height=1966,['cross_industry']
"Black, Creative and Collaborating Across Generations","From Virgil Abloh and Edward Buchanan to Karen Binns and Bianca Saunders, Black fashion creatives are forging more intergenerational partnerships.",https://www.businessoffashion.com/opinions/workplace-talent/black-creative-and-collaborating-across-generations/,fashion,2025-09-25T19:16:11.641600+00:00,https://img.businessoffashion.com/resizer/v2/Z4U4XVG3RVDL7NPQDPJ5AOCH2U.jpg?auth=4f0aaeb5645aa98c70e7637a8a7bd65e8db8740707f9c83a4933cf14a3345d92&smart=true&width=2145&height=3347,['test']
Fashion’s Progress on Disclosing Emissions Is Stalling,"Advocacy group Fashion Revolution’s second “What Fuels Fashion?” report shows the industry’s continued failure to disclose climate efforts, especially on the critical risks of fossil-fuel based heat stress.",https://www.businessoffashion.com/news/sustainability/fashion-revolution-brands-lack-transparency-on-climate-efforts-heat-stress-on-workers/,"climate, fashion",2025-09-25T19:16:11.641659+00:00,https://img.businessoffashion.com/resizer/v2/EKJITYOJORBZPKBXAVTSTPQR6E.jpg?auth=b55976724957ceb795231afec43700c7cf2b30faaf53ff16bdd5d8c557030fe2&smart=true&width=1800&height=1013,"['test', 'cross_industry']"
Brunello Cucinelli Shares Fall 15% After Alleged Russia Links,Short seller Morpheus Research accused the Italian luxury label of secretly operating in Russia despite EU sanctions. The company has denied the claims.,https://www.businessoffashion.com/news/luxury/brunello-cucinelli-shares-fall-as-short-seller-makes-russia-claims/,,2025-09-25T19:16:11.641710+00:00,https://img.businessoffashion.com/resizer/v2/QPHFQ6OTBNF4ZKB4PGBFIVLU5Q.jpeg?auth=f5d8949afa025e7e617ee02e3d88dfd35180769a536ef51fd1a35a2d15d4a743&smart=true&width=3500&height=2258,[]
"Full Coverage: Inside the Foundation Wars, Nykaa Lands Deepika Padukone, Bobbi Brown Tells All","This week, I go deep on makeup and the global retail wars.",https://www.businessoffashion.com/articles/beauty/full-coverage-inside-the-foundation-wars-nykaa-lands-deepika-padukone-bobbi-brown-tells-all/,,2025-09-25T19:16:11.641753+00:00,https://img.businessoffashion.com/resizer/v2/VGUCV3GSRNAVTNBG66EXKQVSDY.jpg?auth=12ced208610bec39a2e2c0e2a47f6f62b3b53b2a549f7dfec8faf79f4d1a14f2&smart=true&width=5784&height=4338,[]
Tiffany Godoy to Step Down as Head of Editorial Content at Vogue Japan,Condé Nast Japan president Juna Kitada will also be stepping down at the end of the year.,https://www.businessoffashion.com/news/media/tiffany-godoy-to-step-down-as-head-of-editorial-content-at-vogue-japan/,,2025-09-25T19:16:11.641789+00:00,https://img.businessoffashion.com/resizer/v2/KBSWGRXRNZG2XHPSUGO7BLTX6E.jpg?auth=f93b938aafa6cac3419759d546548e9a29aff012b9838c7f7cbb916f219cc55f&smart=true&width=1800&height=1013,[]
"LVMH Bets on South Korea to Spur Growth on US, China Uncertainty","Louis Vuitton and Christian Dior are both looking to expand their flagship maison-style stores in Seoul’s Cheongdam district within the next few years, Bloomberg reported.",https://www.businessoffashion.com/news/luxury/lvmh-bets-on-south-korea-to-spur-growth-on-us-china-uncertainty/,"next, style",2025-09-25T19:16:11.641825+00:00,https://img.businessoffashion.com/resizer/v2/V62EPVC2FRGWPCAY5EVGKQZXLY.jpg?auth=ac974b79220de9baf56d31c2dd121448fd6eaf53d05b6531fe429cbfd123b619&smart=true&width=1800&height=1013,"['test', 'cross_industry']"
H&M Group’s Q3 Profits Top Expectations As It Warns of Tariff Costs,H&M reported a higher-than-expected third-quarter profit due to strong autumn sales but warned of increased tariff-related costs and higher markdowns in the current quarter.,https://www.businessoffashion.com/news/retail/hm-groups-q3-profits-top-expectations-as-it-warns-of-tariff-costs/,,2025-09-25T19:16:11.641876+00:00,https://img.businessoffashion.com/resizer/v2/2OYNUFGUGFGE5AIVYPM6VFVZLY.png?auth=2734c7b3990ffae40a74061836096dfca1dfbfc6825b7a73effa116dfa92c19a&smart=true&width=1800&height=1013,[]
Mytheresa Sustains Profitable Growth Amid YNAP Merger,"The German e-tailer’s net sales grew 12 percent in the final quarter of its fiscal 2025, but its newly acquired Net-a-Porter and Mr Porter saw continued declines during the same period.",https://www.businessoffashion.com/news/luxury/mytheresa-continues-profitable-growth/,new,2025-09-25T19:16:11.641921+00:00,https://img.businessoffashion.com/resizer/v2/G5VBVC5N25G45HLIWULVWQBWA4.jpg?auth=f1b20026f7a774403f8b76992bd62529ce88b8bdc5d8b8d86bf3c1efc4fb6b6b&smart=true&width=1800&height=1013,['cross_industry']
UK Sees Surge in Male Facelifts,"Growing numbers of men and younger people are getting facelifts, a trend driven by social media, surgical innovations and weight loss drugs, according to the British Association of Aesthetic Plastic Surgeons.",https://www.businessoffashion.com/news/beauty/male-facelifts-surge-in-uk/,"trend, innovation, trend",2025-09-25T19:16:11.641963+00:00,https://img.businessoffashion.com/resizer/v2/EQVOTM5KHVAWDABKO7UZM24JNY.jpg?auth=97ce1362d2dd2eeba1b36496c7aeb721da524e3e9e3ed4b364d4b3dc8789f6b7&smart=true&width=1800&height=1013,"['test', 'cross_industry']"
