topic,mentions_this_week,mentions_prev_week,velocity,recency,source_count,rep_headlines,velocity_norm,recency_norm,source_norm,trend_score,score_prev,score_delta
-1,1,327,-0.9969418960244648,329,1,"The Story of DOGE, as Told by Federal Workers",0.000686136718274481,0.17618270799347469,0.07142857142857142,7.455783851392363,,
0,829,186,3.456989247311828,1844,14,"How Wild Can a Sneaker-Loafer Get? || 13 Best MagSafe Power Banks for iPhones (2025), Tested and Reviewed || 17 Best MagSafe Wireless Chargers (2025): Power Banks, Stands, Pads, and Travel Chargers",1.0,0.9999999999999999,1.0,100.0,,
1,10,103,-0.9029126213592233,123,2,SXSW attendees share the worst work advice they’ve ever received || Job Board (September Free Week) || Job Board: September 18,0.021783175424830468,0.06416530723219141,0.14285714285714285,7.082000519673246,,
10,0,50,-1.0,50,0,,0.0,0.024469820554649264,0.0,0.734094616639478,,
11,0,47,-1.0,47,0,,0.0,0.022838499184339313,0.0,0.6851549755301793,,
12,0,42,-1.0,42,0,,0.0,0.020119630233822728,0.0,0.6035889070146818,,
13,0,27,-1.0,27,0,,0.0,0.011963023382272973,0.0,0.3588907014681892,,
14,0,41,-1.0,41,0,,0.0,0.01957585644371941,0.0,0.5872756933115824,,
15,0,38,-1.0,38,0,,0.0,0.01794453507340946,0.0,0.5383360522022838,,
16,0,36,-1.0,36,0,,0.0,0.016856987493202826,0.0,0.5057096247960847,,
17,0,34,-1.0,34,0,,0.0,0.015769439912996192,0.0,0.4730831973898858,,
18,0,24,-1.0,24,0,,0.0,0.010331702011963022,0.0,0.30995106035889064,,
19,0,30,-1.0,30,0,,0.0,0.013594344752582924,0.0,0.40783034257748774,,
2,10,87,-0.8850574712643678,107,2,"U.S. Pledges Support for Argentina’s Economy and Javier Milei || Argentine Tech Executive Dies After Falling 2,000 Feet on Mount Shasta || Milei Fixed Half of Argentina’s Inflation Problem. He Needs Help With the Rest.",0.0257892766523855,0.05546492659053834,0.14285714285714285,6.981233149525854,,
20,0,26,-1.0,26,0,,0.0,0.011419249592169656,0.0,0.34257748776508967,,
21,0,16,-1.0,16,0,,0.0,0.005981511691136487,0.0,0.1794453507340946,,
22,0,23,-1.0,23,0,,0.0,0.009787928221859706,0.0,0.2936378466557912,,
23,0,15,-1.0,15,0,,0.0,0.00543773790103317,0.0,0.1631321370309951,,
24,0,14,-1.0,14,0,,0.0,0.004893964110929853,0.0,0.1468189233278956,,
25,0,11,-1.0,11,0,,0.0,0.003262642740619902,0.0,0.09787928221859706,,
26,0,11,-1.0,11,0,,0.0,0.003262642740619902,0.0,0.09787928221859706,,
27,0,6,-1.0,6,0,,0.0,0.000543773790103317,0.0,0.01631321370309951,,
28,0,5,-1.0,5,0,,0.0,0.0,0.0,0.0,,
3,0,58,-1.0,58,0,,0.0,0.0288200108754758,0.0,0.8646003262642741,,
4,0,81,-1.0,81,0,,0.0,0.04132680804785209,0.0,1.2398042414355626,,
5,0,72,-1.0,72,0,,0.0,0.03643284393692224,0.0,1.0929853181076672,,
6,0,63,-1.0,63,0,,0.0,0.03153887982599239,0.0,0.9461663947797717,,
7,0,60,-1.0,60,0,,0.0,0.029907558455682434,0.0,0.897226753670473,,
8,0,39,-1.0,39,0,,0.0,0.018488308863512777,0.0,0.5546492659053833,,
9,0,55,-1.0,55,0,,0.0,0.02718868950516585,0.0,0.8156606851549755,,
