section,metric,value
summary,total_items,50
top_words,con,34
top_words,zapatillas,7
top_words,tac,6
top_words,bolso,5
top_words,vestido,5
top_words,piel,5
top_words,valentino,5
top_words,garavani,5
top_words,vans,5
top_words,midi,4
top_words,cuadros,4
top_words,estampado,4
top_words,falda,3
top_words,chaqueta,3
top_words,pantalones,3
top_words,cintur,3
top_words,ajedrezado,3
top_words,detalles,3
top_words,cuello,2
top_words,abrigo,2
top_bigrams,con tac,5
top_bigrams,valentino garavani,5
top_bigrams,garavani vans,5
top_bigrams,con estampado,4
top_bigrams,falda midi,3
top_bigrams,piel con,3
top_bigrams,ajedrezado valentino,3
top_bigrams,con detalles,3
top_bigrams,abrigo con,2
top_bigrams,con botones,2
top_bigrams,vlogo con,2
top_bigrams,con motivo,2
top_bigrams,motivo ajedrezado,2
top_bigrams,zapatillas con,2
top_bigrams,doble botonadura,2
top_bigrams,detalles cristal,2
top_bigrams,con flecos,2
top_bigrams,bolso shopper,2
top_bigrams,con cintur,2
top_bigrams,colt con,2
top_designers,Valentino Garavani,7
top_designers,KHAITE,7
top_designers,Jacquemus,3
top_designers,LouLou de Saison,3
top_designers,Acne Studios,3
top_designers,DÃEN,2
top_designers,Max Mara,2
top_designers,AlaÃ¯a,2
top_designers,Nanushka,1
top_designers,Aeyde,1
items,Nanushka | jersey Maxe con cuello peregrino,https://www.farfetch.com/es/shopping/women/nanushka-jersey-maxe-con-cuello-peregrino-item-30463550.aspx
items,Jacquemus | bolso The Small Calino with knots mini,https://www.farfetch.com/es/shopping/women/jacquemus-bolso-the-small-calino-with-knots-mini-item-32167808.aspx
items,DÃEN | falda midi Saskia a cuadros,https://www.farfetch.com/es/shopping/women/doen-falda-midi-saskia-a-cuadros-item-30447214.aspx
items,Aeyde | botas Medea con tacÃ³n de 40 mm,https://www.farfetch.com/es/shopping/women/aeyde-botas-medea-con-tacon-de-40-mm-item-31887532.aspx
items,RÃ³he | abrigo con botones,https://www.farfetch.com/es/shopping/women/rohe-abrigo-con-botones-item-32032549.aspx
items,Valentino Garavani | zapatos Valet du Roi con tacÃ³n de 60 mm,https://www.farfetch.com/es/shopping/women/valentino-garavani-zapatos-valet-du-roi-con-tacon-de-60-mm-item-32125239.aspx
items,Ralph Lauren RRL | chaqueta vaquera con diseÃ±o cruzado,https://www.farfetch.com/es/shopping/women/ralph-lauren-rrl-chaqueta-vaquera-con-diseno-cruzado-item-31033527.aspx
