title,summary,link,matched_keywords,tags,text_clean
The BoF Podcast | Edward Enninful on Moving From Editor to Entrepreneur,"In an in-depth conversation with BoF’s Imran Amed, Edward Enninful introduces EE72 — a new, culture-led media company  — and opens up about leaving Vogue, building a business from scratch and advising...",https://www.businessoffashion.com/podcasts/creative-class/the-bof-podcast-edward-enninful-on-moving-from-editor-to-entrepreneur/,new,['cross_industry'],bof podcast edward enninful move editor entrepreneur depth conversation bof imran amed edward enninful introduce new culture lead medium company open leave vogue build business scratch advise
Tough Choices for Armani’s Heirs,"The designer’s will unexpectedly called for his brand to be sold or file for an IPO. With the luxury sector in a slump, neither option looks particularly appealing right now, writes Imran Amed.",https://www.businessoffashion.com/opinions/luxury/tough-choices-for-armanis-heirs/,designer,['test'],tough choices armani heir designer unexpectedly call brand sell file ipo luxury sector slump option look particularly appealing right write imran amed
Nudestix Acquired by Undisclosed US Firm,"The Canadian makeup label declined to name its new owner, but said the partnership would unlock growth through the company’s existing retail network.",https://www.businessoffashion.com/news/beauty/nudestix-acquisition-2025/,new,['cross_industry'],nudestix acquire undisclosed firm canadian makeup label decline new owner say partnership unlock growth company exist retail network
"Armani’s Surprise Will, Explained","The Italian designer, whose last testament was made public this week, mandated that the Armani foundation must sell a 15 percent stake in the fashion house to LVMH, L’Oréal, EssilorLuxottica or anothe...",https://www.businessoffashion.com/briefings/luxury/armanis-surprise-will-explained/,"fashion, designer",['test'],armani surprise explain italian designer testament public week mandate armani foundation sell percent stake fashion house lvmh essilorluxottica anothe
Tinder Swipes Right on Fragrance,"LoveShackFancy partnered with the dating platform to launch its new perfume, Secret Crush, founder Rebecca Hessel Cohen exclusively told The Business of Beauty. Tinder says it’s just the beginning of ...",https://www.businessoffashion.com/articles/beauty/loveshackfancy-tinder-collaboration-secret-crush-fragrance/,new,['cross_industry'],tinder swipes right fragrance loveshackfancy partner date platform launch new perfume secret crush founder rebecca hessel cohen exclusively tell business beauty tinder say beginning
Why Brands Are Creating Their Own TV Shows,"As brands seek new ways of connecting with ad-weary consumers, they are experimenting with series-style content that allows them to lean into humour, tell more elaborate stories and keep customers eng...",https://www.businessoffashion.com/articles/marketing-pr/why-brands-are-creating-tv-shows/,"new, consumer, style","['test', 'cross_industry']",brand create show brand seek new way connect weary consumer experiment series style content allow lean humour tell elaborate story customer eng
Refashioned: Nike’s Sustainability Reset,"The sportswear giant has toned down communications around its sustainability efforts, replacing its glossy annual impact report with hard-to-find data sheets. Meanwhile, Rolex is cosying up to Trump a...",https://www.businessoffashion.com/briefings/sustainability/refashioned-nike-sustainability-rolex-trump-eu-fashion-waste-regulation-epr/,"glossy, sustainability, fashion","['test', 'cross_industry', 'finish']",refashion nike sustainability reset sportswear giant tone communication sustainability effort replace glossy annual impact report hard find data sheet rolex cosye trump
The Kicks You Wear: Tommy Hilfiger Talks Team Cadillac and F1 Fashion,Tommy Hilfiger is dressing Team Cadillac — the newest team on the grid. We talked to him about his history in the sport and the opportunity he sees in teaming up with the classic American automotive b...,https://www.businessoffashion.com/briefings/sports/the-kicks-you-wear-tommy-hilfiger-talks-team-cadillac-and-f1-fashion/,"new, fashion","['test', 'cross_industry']",kicks wear tommy hilfiger talks team cadillac fashion tommy hilfiger dress team cadillac new team grid talk history sport opportunity see team classic american automotive
Colin Walsh Is Glossier’s Next CEO,The former CEO of Ouai and Procter & Gamble’s specialty beauty arm is set to take the helm at the millennial beauty brand this October.,https://www.businessoffashion.com/news/beauty/colin-walsh-is-glossiers-next-ceo/,next,['cross_industry'],colin walsh glossier ceo ceo ouai procter gamble specialty beauty arm set helm millennial beauty brand october
"Ferragamo CFO La Tour Resigns, La Morgia Takes Interim Role",The Italian luxury group has been looking for a new executive officer since its CEO Marco Gobbetti left the company in March.,https://www.businessoffashion.com/news/luxury/ferragamo-cfo-la-tour-resigns-la-morgia-takes-interim-role/,new,['cross_industry'],ferragamo cfo tour resigns morgia take interim role italian luxury group look new executive officer ceo marco gobbetti leave company march
Why Luxury Needs to Rethink How It Speaks to Gen-Z,"Many high-end brands are struggling to connect with young consumers, who are either bored by dated marketing, turned off by high prices, or both. Time is running out, as Gen-Z is poised to dominate lu...",https://www.businessoffashion.com/articles/luxury/why-luxury-lost-gen-z-customers/,consumer,['cross_industry'],luxury need rethink speak gen high end brand struggle connect young consumer bore date marketing turn high price time run gen poise dominate
